channels,n_back,max_iter,post_optimize,n_obs,time_mean,time_std,time_min,time_max,n_repeats
10,3,1,True,750,0.0355734820046927,0.0007621975502079,0.0342704000067897,0.0381060000509023,100
10,3,5,True,750,0.2267324040044332,0.0032862443170009,0.2218693999457173,0.2422755000297911,100
10,3,10,True,750,0.4686485200002789,0.0059404436522002,0.4605256000068038,0.4905150000122376,100
10,3,15,True,750,0.6985397499991813,0.0085314142543035,0.6868669000105001,0.733214899955783,100
10,3,20,True,750,0.9276800150022608,0.0100202793988096,0.9119794000289404,0.972364200046286,100
10,4,1,True,750,0.0464125949947629,0.0004764646158343,0.0457186999847181,0.0491675999946892,100
10,4,5,True,750,0.3091720539989183,0.0034760724854461,0.3033699999796226,0.3185370999854058,100
10,4,10,True,750,0.6183670820016414,0.0073923145640269,0.6100372000364587,0.6384035999653861,100
10,4,15,True,750,0.9212707370013232,0.010579284552474,0.904228499974124,0.9483115000184624,100
10,4,20,True,750,1.2293229179998162,0.0150865441788763,1.208939400035888,1.2734634000225924,100
10,5,1,True,750,0.055981706996099,0.0009771771541701,0.0545550999813713,0.061487799976021,100
10,5,5,True,750,0.4003152129979571,0.0050733051533653,0.3939996999688446,0.4206085999612696,100
10,5,10,True,750,0.8235222859983332,0.0101523650002404,0.8090033999760635,0.866502299963031,100
10,5,15,True,750,1.245119061996811,0.0153674739259862,1.2237701000412926,1.3169460000353863,100
10,5,20,True,750,1.669369104997022,0.0179782401744676,1.6409879000275396,1.74171849997947,100
11,2,1,True,750,0.0238387030013836,0.0002669472929663,0.0234336000285111,0.0246895999880507,100
11,2,5,True,750,0.1408500800002366,0.0021060647498978,0.1375031000352464,0.1493652999633923,100
11,2,10,True,750,0.2861664740002015,0.0064968873433619,0.2809693000162951,0.3334003000054508,100
11,2,15,True,750,0.432127194997156,0.0052380359977532,0.4227472000056878,0.4448808000306599,100
11,2,20,True,750,0.5771954249974806,0.0058911967120934,0.5662789000198245,0.5924354000017047,100
11,3,1,True,750,0.038111813001451,0.0002940813184146,0.0376152999815531,0.0393509000423364,100
11,3,5,True,750,0.246224426999106,0.0030566813665379,0.2402124999789521,0.2566980000119656,100
11,3,10,True,750,0.5018564709991915,0.0061578914812552,0.4924090999993495,0.5177294000168331,100
11,3,15,True,750,0.7608618169958936,0.0089101077274435,0.7450379999936558,0.7851989999762736,100
11,3,20,True,750,1.022854601002182,0.0114777824821044,1.003100399975665,1.0595286000170745,100
11,4,1,True,750,0.048801767003606,0.0003626329354686,0.0481817999971099,0.0503042000345885,100
11,4,5,True,750,0.3326739799993811,0.0036199891792307,0.325515600037761,0.341338399972301,100
11,4,10,True,750,0.6796847870008788,0.0064433092671345,0.6680349999805912,0.6987498999806121,100
11,4,15,True,750,1.0233920590009076,0.0115813969197162,1.0083051000256091,1.0560193000128493,100
11,4,20,True,750,1.3708448999968823,0.0152363419091134,1.3464956999523563,1.4356534000253305,100
11,5,1,True,750,0.0620336319983471,0.0005845164412959,0.061015999992378,0.0638299999991431,100
11,5,5,True,750,0.4644399040023563,0.006532146923287,0.4558399000088684,0.4854153000051155,100
11,5,10,True,750,0.916570464000106,0.0100042217226011,0.8986538000172004,0.9439837000099942,100
11,5,15,True,750,1.372247222000151,0.0150842196280942,1.3477496999548748,1.4132640999741852,100
11,5,20,True,750,1.8192434860003412,0.0188839556791681,1.7907163999625482,1.9021119000390168,100
12,2,1,True,750,0.0270273409970104,0.0002544965937264,0.0265329999965615,0.0280693999957293,100
12,2,5,True,750,0.1571824230003403,0.0022329719923359,0.1538973999558948,0.1642935000127181,100
12,2,10,True,750,0.3188919679995161,0.0037154348078797,0.3139501000405289,0.3284787000156939,100
12,2,15,True,750,0.4838109000033,0.0047775236667395,0.4734289000043645,0.4991290000034496,100
12,2,20,True,750,0.6463404269993771,0.008241214459308,0.6339652999886312,0.6765668999869376,100
12,3,1,True,750,0.0420845640002517,0.0004586085619802,0.0411042000050656,0.0444074000115506,100
12,3,5,True,750,0.2640412159974221,0.0030417726551668,0.259054499969352,0.2723012000205926,100
12,3,10,True,750,0.5346612359967549,0.0068275865832698,0.5251985999639146,0.5541146000032313,100
12,3,15,True,750,0.7999954809987685,0.0110298978927319,0.7870802999823354,0.846171100041829,100
12,3,20,True,750,1.0649802959983936,0.0119600128352641,1.047102199983783,1.110038999991957,100
12,4,1,True,750,0.0561057140002958,0.0007036907415381,0.0547462999820709,0.0593483999837189,100
12,4,5,True,750,0.3513054229982663,0.0046630775935648,0.3451769999810494,0.3737445999868214,100
12,4,10,True,750,0.7157563219964505,0.0092814604480354,0.7032232999918051,0.7488242000108585,100
12,4,15,True,750,1.0878616010007682,0.0114343586265196,1.0705563999945298,1.117846000008285,100
12,4,20,True,750,1.4661089100001845,0.0157886109227308,1.441083100042306,1.507552700000815,100
12,5,1,True,750,0.0699225709994789,0.0007114980670174,0.0686286000418476,0.0723617000039666,100
12,5,5,True,750,0.4646074790041893,0.0058414651298713,0.4561111000366509,0.4810207999544218,100
12,5,10,True,750,0.9507249600009527,0.009561193957361,0.937454600003548,0.9780588999856265,100
12,5,15,True,750,1.4348803659988334,0.0153990401165642,1.4130500000319444,1.500441599986516,100
12,5,20,True,750,1.916182110999944,0.0177718869411767,1.888057200005278,1.9602985000237825,100
1,2,1,True,1000,0.0069332870026119,0.0001714370710732,0.0067389999749138,0.0075222000014036,100
1,2,5,True,1000,0.0400342189980438,0.0006156928818771,0.0393857000162825,0.0444438999984413,100
1,2,10,True,1000,0.0819263260008301,0.001486951422435,0.0803231999743729,0.0864531999686732,100
1,2,15,True,1000,0.1242465590010397,0.0029349481584344,0.1214427000377327,0.1342597000184469,100
1,2,20,True,1000,0.1650236189976567,0.0037478126553432,0.1625528000295162,0.18445470003644,100
1,3,1,True,1000,0.0094078200007788,0.0001885541904818,0.0091500999988056,0.010227599996142,100
1,3,5,True,1000,0.0560056150023592,0.0009053182896408,0.0545649999985471,0.0602745999931357,100
1,3,10,True,1000,0.1111109770025359,0.0009787368295068,0.1094066000077873,0.1160369999706745,100
1,3,15,True,1000,0.1667532930010929,0.0021608350852745,0.1633568000397645,0.1783074000268243,100
1,3,20,True,1000,0.2223042789986357,0.0027548823992535,0.2170926000108011,0.2307847999618388,100
1,4,1,True,1000,0.011601434997865,0.0002195336826767,0.0113310000160709,0.0125688000116497,100
1,4,5,True,1000,0.0744066030014073,0.0013776140414618,0.0726737999939359,0.0787907000049017,100
1,4,10,True,1000,0.1521957380016101,0.0017714092961036,0.1490079999784939,0.1579396000015549,100
1,4,15,True,1000,0.2275709360011387,0.0026630311545438,0.2246315999655053,0.2368491000379435,100
