channels,n_obs,n_back,max_iter,post_optimize,time_mean,time_min,time_max,exp,n_repeats
7,500,5,5,True,20.153620860003866,20.031896500004223,20.241630400007125,obs_scaling,
8,500,5,5,True,22.145546460000332,22.047643800004153,22.24794609998935,obs_scaling,
1,246,2,1,True,0.3505773199955001,,0.35377479999442585,iter_nback_scaling,5.0
1,246,2,1,False,0.3387320400041062,,0.34157689998392016,iter_nback_scaling,5.0
1,246,2,5,True,2.129480439989129,,2.1361955999745987,iter_nback_scaling,5.0
1,246,2,5,False,2.0669577200023923,,2.0759701000060886,iter_nback_scaling,5.0
1,246,2,10,True,4.3602922799880615,,4.363695000007283,iter_nback_scaling,5.0
1,246,2,10,False,4.215959899994777,,4.252061899984255,iter_nback_scaling,5.0
1,246,2,15,True,6.569596860004822,,6.610825799987651,iter_nback_scaling,5.0
1,246,2,15,False,6.355148879985791,,6.434058799990453,iter_nback_scaling,5.0
1,246,2,20,True,8.748008559999288,,8.809716899995692,iter_nback_scaling,5.0
1,246,2,20,False,8.449103259999537,,8.52861069998471,iter_nback_scaling,5.0
1,246,3,1,True,0.5657006000168622,,0.5691450000158511,iter_nback_scaling,5.0
1,246,3,1,False,0.5482840600074269,,0.5495261000178289,iter_nback_scaling,5.0
1,246,3,5,True,3.600523859990062,,3.617341299977852,iter_nback_scaling,5.0
1,246,3,5,False,3.480214079999132,,3.4877328999864403,iter_nback_scaling,5.0
1,246,3,10,True,7.297046240000054,,7.346644799981732,iter_nback_scaling,5.0
1,246,3,10,False,7.120092680002562,,7.15731959999539,iter_nback_scaling,5.0
1,246,3,15,True,11.074173220002558,,11.123990099993534,iter_nback_scaling,5.0
1,246,3,15,False,10.74789146000403,,10.793179300002521,iter_nback_scaling,5.0
1,246,3,20,True,14.826335720007773,,14.918974400003208,iter_nback_scaling,5.0
1,246,3,20,False,14.333547979989088,,14.39742059999844,iter_nback_scaling,5.0
1,246,4,1,True,0.8242894600029104,,0.8390968999883626,iter_nback_scaling,5.0
1,246,4,1,False,0.7987081800063607,,0.8121851999894716,iter_nback_scaling,5.0
1,246,4,5,True,5.249662900011754,,5.285139000014169,iter_nback_scaling,5.0
1,246,4,5,False,5.10645812000148,,5.136367500002962,iter_nback_scaling,5.0
1,246,4,10,True,10.777853620011593,,10.883198499999708,iter_nback_scaling,5.0
1,246,4,10,False,10.491809700004524,,10.610353900003247,iter_nback_scaling,5.0
1,246,4,15,True,16.379288939997785,,16.517204100004165,iter_nback_scaling,5.0
1,246,4,15,False,15.882028360007098,,16.00184369998169,iter_nback_scaling,5.0
1,246,4,20,True,21.882802780001658,,22.012619400018593,iter_nback_scaling,5.0
1,246,4,20,False,21.299449679994723,,21.46193210000638,iter_nback_scaling,5.0
1,246,5,1,True,1.1072785400087013,,1.1109585000085644,iter_nback_scaling,5.0
1,246,5,1,False,1.0892211599915753,,1.1086844999808818,iter_nback_scaling,5.0
1,246,5,5,True,7.218402759992751,,7.269339399994351,iter_nback_scaling,5.0
1,246,5,5,False,6.954936139995698,,7.031436499994015,iter_nback_scaling,5.0
1,246,5,10,True,14.912640339991777,,14.960110999993049,iter_nback_scaling,5.0
1,246,5,10,False,14.436608159996103,,14.473442499991506,iter_nback_scaling,5.0
1,246,5,15,True,22.485810560017125,,22.658894000021974,iter_nback_scaling,5.0
1,246,5,15,False,21.753149720001964,,21.831065000005765,iter_nback_scaling,5.0
1,246,5,20,True,30.281448499998078,,30.329363099997863,iter_nback_scaling,5.0
1,246,5,20,False,29.26785416000639,,29.341164000012213,iter_nback_scaling,5.0
