"","Wavelength..nm.","Intensity","X","Y"
"136",472.353545734841,3774.95462794918,472.353545734841,3774.95462794918
"120",472.610483042138,3920.14519056261,472.610483042138,3920.14519056261
"108",472.867420349435,4029.03811252269,472.867420349435,4029.03811252269
"94",473.124357656732,4156.07985480944,473.124357656732,4156.07985480944
"81",473.381294964029,4274.04718693285,473.381294964029,4274.04718693285
"71",473.638232271326,4364.79128856624,473.638232271326,4364.79128856624
"60",473.895169578623,4464.60980036298,473.895169578623,4464.60980036298
"45",474.15210688592,4600.72595281307,474.15210688592,4600.72595281307
"37",474.409044193217,4673.32123411978,474.409044193217,4673.32123411978
"30",474.665981500514,4736.84210526316,474.665981500514,4736.84210526316
"20",474.922918807811,4827.58620689655,474.922918807811,4827.58620689655
"14",475.179856115108,4882.03266787659,475.179856115108,4882.03266787659
"7",475.436793422405,4945.55353901996,475.436793422405,4945.55353901996
"3",475.693730729702,4981.85117967332,475.693730729702,4981.85117967332
"1",475.950668036999,5000,475.950668036999,5000
"2773",476.207605344296,5000,476.207605344296,5000
"2769",476.464542651593,4972.77676950998,476.464542651593,4972.77676950998
"2763",476.72147995889,4918.33030852995,476.72147995889,4918.33030852995
"2755",476.978417266187,4845.73502722323,476.978417266187,4845.73502722323
"2746",477.235354573484,4764.06533575318,477.235354573484,4764.06533575318
"2739",477.492291880781,4700.5444646098,477.492291880781,4700.5444646098
"2731",477.749229188078,4627.94918330309,477.749229188078,4627.94918330309
"2719",478.006166495375,4519.05626134301,478.006166495375,4519.05626134301
"2710",478.263103802672,4437.38656987296,478.263103802672,4437.38656987296
"2700",478.520041109969,4346.64246823956,478.520041109969,4346.64246823956
"2684",478.776978417266,4201.45190562613,478.776978417266,4201.45190562613
"2676",479.033915724563,4128.85662431942,479.033915724563,4128.85662431942
"2667",479.29085303186,4047.18693284936,479.29085303186,4047.18693284936
"2650",479.547790339157,3892.9219600726,479.547790339157,3892.9219600726
"2639",479.804727646454,3793.10344827586,479.804727646454,3793.10344827586
"2628",480.061664953751,3693.28493647913,480.061664953751,3693.28493647913
"2614",480.318602261048,3566.24319419238,480.318602261048,3566.24319419238
"2603",480.575539568345,3466.42468239564,480.575539568345,3466.42468239564
"2594",480.832476875642,3384.75499092559,480.832476875642,3384.75499092559
"2580",481.089414182939,3257.71324863884,481.089414182939,3257.71324863884
"2570",481.346351490236,3166.96914700544,481.346351490236,3166.96914700544
"2563",481.603288797533,3103.44827586207,481.603288797533,3103.44827586207
"2551",481.86022610483,2994.555353902,481.86022610483,2994.555353902
"2543",482.117163412127,2921.96007259528,482.117163412127,2921.96007259528
"2535",482.374100719424,2849.36479128857,482.374100719424,2849.36479128857
"2527",482.631038026721,2776.76950998185,482.631038026721,2776.76950998185
"2521",482.887975334019,2722.32304900181,482.887975334019,2722.32304900181
"2516",483.144912641315,2676.95099818512,483.144912641315,2676.95099818512
