"","ch0","ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9","ch10","ch11","ch12","ch13","ch14","ch15","ch16","ch17","ch18"
"20510",0.205078125,-0.233154296875,0.25146484375,1.202392578125,-0.72998046875,-0.02685546875,-1.448974609375,-0.13671875,0.115966796875,0.20263671875,0.23193359375,0.1708984375,0.03662109375,-0.157470703125,-0.3271484375,-0.47607421875,0.111083984375,0.2197265625,-0.1806640625
"20511",0.157470703125,-0.030517578125,0.423583984375,1.20361328125,-0.543212890625,-0.03173828125,-1.8896484375,-0.662841796875,-0.009765625,0.15869140625,0.28564453125,0.12451171875,-0.013427734375,-0.157470703125,-0.4150390625,-0.433349609375,0.113525390625,0.21728515625,-0.1806640625
"20512",0.089111328125,0.1416015625,0.711669921875,1.40625,-0.30029296875,-0.047607421875,-1.89208984375,-0.433349609375,-0.0244140625,0.142822265625,0.086669921875,0.047607421875,-0.064697265625,-0.26123046875,-0.333251953125,-0.404052734375,0.115966796875,0.21728515625,-0.185546875
"20513",0.028076171875,0.230712890625,0.75927734375,1.62109375,-0.054931640625,-0.067138671875,-1.531982421875,0.146484375,-0.26123046875,0.284423828125,0.013427734375,-0.1416015625,-0.126953125,-0.33203125,-0.369873046875,-0.306396484375,0.115966796875,0.21728515625,-0.19287109375
"20514",-0.009765625,0.390625,0.96435546875,1.444091796875,0.274658203125,-0.068359375,-0.703125,-0.34912109375,-0.43212890625,0.16845703125,0.06103515625,-0.1611328125,-0.166015625,-0.2587890625,-0.269775390625,-0.16357421875,0.118408203125,0.21728515625,-0.20263671875
"20515",-0.076904296875,0.535888671875,1.390380859375,1.170654296875,0.740966796875,-0.07568359375,0.494384765625,0.006103515625,-0.509033203125,0.186767578125,-0.08544921875,-0.146484375,-0.181884765625,-0.3271484375,-0.155029296875,-0.096435546875,0.1171875,0.216064453125,-0.213623046875
"20516",-0.1806640625,0.826416015625,1.40625,0.477294921875,1.007080078125,-0.05615234375,1.474609375,1.13037109375,-0.645751953125,0.31494140625,-0.074462890625,-0.284423828125,-0.184326171875,-0.166015625,-0.130615234375,-0.0341796875,0.120849609375,0.21728515625,-0.228271484375
"20517",-0.367431640625,1.097412109375,1.324462890625,0.3662109375,1.143798828125,-0.03662109375,3.192138671875,0.1025390625,-0.2880859375,0.38330078125,-0.1806640625,-0.323486328125,-0.196533203125,-0.185546875,0.01708984375,0.103759765625,0.118408203125,0.21484375,-0.25146484375
"20518",-0.5419921875,1.058349609375,1.231689453125,-0.3173828125,1.57470703125,-0.03173828125,0.579833984375,0.909423828125,-0.1953125,0.152587890625,-0.2783203125,-0.316162109375,-0.179443359375,-0.093994140625,0.115966796875,0.33447265625,0.11474609375,0.213623046875,-0.2734375
"20519",-0.565185546875,0.93017578125,0.584716796875,-1.2939453125,1.56982421875,-0.01953125,2.503662109375,1.5771484375,-0.081787109375,-0.103759765625,-0.2685546875,-0.2490234375,-0.1318359375,0.093994140625,0.189208984375,0.46142578125,0.115966796875,0.208740234375,-0.286865234375
"20520",-0.579833984375,0.771484375,0.17333984375,-1.258544921875,1.622314453125,-0.01220703125,1.35986328125,0.323486328125,-0.010986328125,0.133056640625,-0.43701171875,-0.286865234375,-0.0927734375,0.02197265625,0.26611328125,0.44189453125,0.11962890625,0.205078125,-0.29296875
"20521",-0.52734375,0.54931640625,-0.25146484375,-1.829833984375,0.63720703125,-0.010986328125,0.01953125,0.25634765625,-0.111083984375,-0.5419921875,-0.450439453125,-0.322265625,-0.062255859375,0.191650390625,0.479736328125,0.654296875,0.118408203125,0.205078125,-0.294189453125
